model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,245698.99,2024-09-25,2024-09-27,Illinois,513.9,0,80.7,5.8,5,146.0,560
Tesla Model X,Long Range,Pearl White,Electric,Automatic,95618.31,2023-12-01,2024-01-26,Washington,339.5,0,84.8,6.1,7,169.6,816
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,129294.37,2023-09-24,2023-12-18,Massachusetts,365.3,0,74.5,9.8,5,150.0,489
Tesla Model X,Plaid,Solid Black,Electric,Automatic,80018.92,2023-06-28,2023-07-07,Massachusetts,321.1,0,60.4,2.4,7,161.8,540
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,236185.93,2023-05-13,2023-07-08,Massachusetts,520.5,0,90.5,4.5,5,147.9,644
Tesla Model X,Plaid,Pearl White,Electric,Automatic,135572.83,2024-03-09,2024-06-04,Maryland,326.3,0,62.0,8.3,7,157.2,761
Tesla Roadster,Performance,Midnight Silver Metallic,Electric,Automatic,245370.59,2024-04-18,2024-05-07,Florida,525.1,0,86.8,8.7,5,162.3,623
Tesla Cybertruck,Standard Range,Pearl White,Electric,Automatic,50161.97,2024-07-20,2024-10-17,California,489.7,0,61.2,10.8,5,140.8,540
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,46430.93,2024-04-20,2024-06-28,Colorado,272.5,0,76.8,5.8,5,168.2,598
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,77789.02,2023-03-26,2023-04-01,Virginia,498.1,0,64.9,11.3,5,153.6,610
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,63647.64,2024-05-18,2024-05-30,Virginia,321.3,0,67.9,2.0,5,154.1,623
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,39812.94,2023-04-04,2023-06-22,New Jersey,268.8,0,83.4,7.6,5,160.6,492
Tesla Roadster,Plaid,Red Multi-Coat,Electric,Automatic,225778.3,2024-05-04,2024-05-21,Virginia,455.2,0,98.5,11.4,5,149.0,564
Tesla Cybertruck,Plaid,Deep Blue Metallic,Electric,Automatic,59588.1,2025-01-06,2025-03-09,Maryland,416.0,0,96.6,7.4,5,156.4,493
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,92225.85,2023-11-19,2024-01-06,Virginia,329.4,0,91.3,9.4,7,141.3,617
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,68478.64,2023-10-22,2024-01-12,New Jersey,296.1,0,69.9,7.6,7,162.3,782
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,120107.71,2023-06-01,2023-08-04,New Jersey,313.2,0,78.4,3.9,7,149.6,838
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,75692.74,2023-06-01,2023-08-19,Massachusetts,285.9,0,62.3,5.0,5,154.6,601
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,106706.97,2025-02-25,2025-03-18,Connecticut,377.1,0,65.3,0.9,5,168.2,593
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,96514.7,2025-02-22,2025-04-17,Virginia,314.6,0,60.8,7.7,7,161.0,488
Tesla Model X,Standard Range,Midnight Silver Metallic,Electric,Automatic,125679.14,2023-12-20,2024-01-07,Nevada,334.7,0,69.3,7.8,7,158.7,495
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,128856.28,2024-10-17,2024-11-07,Florida,380.9,0,88.6,2.6,5,153.0,571
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,61639.83,2023-12-10,2024-03-01,California,282.5,0,97.8,11.2,7,140.0,881
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,238349.07,2023-08-17,2023-10-31,Arizona,607.5,0,83.6,8.4,5,168.8,558
Tesla Roadster,Performance,Deep Blue Metallic,Electric,Automatic,227673.63,2023-06-13,2023-07-22,Washington,588.9,0,76.9,8.8,5,167.9,450
Tesla Model X,Plaid,Pearl White,Electric,Automatic,109908.84,2023-09-11,2023-11-07,Nevada,340.3,0,70.5,1.4,7,146.1,499
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,133615.41,2024-07-04,2024-07-24,Colorado,325.6,0,90.0,3.3,7,148.9,838
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,127272.42,2024-03-05,2024-03-16,New York,363.3,0,72.9,5.8,5,163.7,469
Tesla Roadster,Performance,Solid Black,Electric,Automatic,233082.91,2023-05-08,2023-07-13,Nevada,460.7,0,84.0,10.2,5,152.9,477
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,124261.5,2023-11-30,2023-12-09,Connecticut,344.1,0,80.2,0.9,7,153.7,583
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,55372.58,2024-08-10,2024-08-25,California,318.5,0,64.8,9.6,7,151.2,710
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,68173.36,2024-06-03,2024-08-07,Illinois,272.8,0,80.1,2.7,7,140.3,525
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,95282.07,2024-02-23,2024-03-12,New York,341.2,0,63.4,7.1,5,148.4,633
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,116466.03,2024-08-08,2024-08-22,Oregon,305.8,0,76.8,7.2,7,157.5,546
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,119083.07,2024-03-10,2024-05-12,Arizona,321.0,0,83.1,1.9,7,149.6,475
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,248478.07,2024-12-03,2024-12-11,Oregon,518.6,0,68.1,4.4,5,146.2,613
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,59151.94,2024-10-24,2025-01-22,New York,405.0,0,60.1,3.2,5,169.4,576
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,213730.31,2023-11-05,2023-12-11,New York,588.9,0,77.0,5.1,5,159.3,526
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,54965.08,2023-05-10,2023-05-31,Illinois,368.0,0,98.1,1.4,5,146.0,591
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,222170.25,2024-05-17,2024-07-07,Illinois,430.8,0,80.5,5.6,5,158.7,572
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,111640.41,2024-05-21,2024-06-18,Texas,326.9,0,60.9,5.7,7,163.1,639
Tesla Model X,Plaid,Solid Black,Electric,Automatic,113341.8,2024-06-08,2024-07-11,Maryland,322.9,0,64.8,7.3,7,156.9,589
Tesla Roadster,Performance,Deep Blue Metallic,Electric,Automatic,225655.23,2024-10-04,2024-12-23,Arizona,456.3,0,72.9,7.8,5,141.2,603
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,52190.07,2025-02-24,2025-04-16,Washington,361.8,0,68.9,8.1,5,164.1,618
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,106734.26,2024-11-17,2025-02-04,Virginia,307.5,0,83.2,8.7,7,162.5,767
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,45429.16,2023-11-18,2023-12-25,Maryland,291.1,0,99.9,2.8,5,145.2,637
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,52407.1,2024-08-08,2024-09-24,California,300.9,0,65.3,11.2,5,156.5,494
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,61500.87,2024-02-13,2024-04-10,New York,350.3,0,63.3,4.8,5,167.7,571
Tesla Model 3,Performance,Pearl White,Electric,Automatic,50669.87,2024-12-23,2025-01-04,New York,312.2,0,67.5,1.8,5,151.9,434
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,92303.42,2023-09-16,2023-10-13,Virginia,332.2,0,87.2,9.8,7,149.4,726
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,91367.64,2023-08-26,2023-10-10,California,316.6,0,64.1,1.5,7,142.1,881
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,61755.15,2023-07-29,2023-07-31,Maryland,280.8,0,92.7,5.6,5,168.6,650
Tesla Model 3,Standard Range,Deep Blue Metallic,Electric,Automatic,52455.98,2023-06-16,2023-08-03,Illinois,324.5,0,96.7,7.6,5,169.5,638
Tesla Model S,Long Range,Pearl White,Electric,Automatic,111570.66,2024-06-09,2024-08-04,Texas,375.6,0,62.8,10.3,5,152.1,520
Tesla Model 3,Performance,Deep Blue Metallic,Electric,Automatic,48768.51,2024-05-23,2024-06-02,Arizona,267.1,0,81.9,2.5,5,150.8,583
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,111171.56,2025-02-28,2025-04-21,Maryland,367.9,0,76.6,5.8,5,143.8,533
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,69239.78,2024-11-30,2025-02-15,New Jersey,434.3,0,72.7,6.2,5,161.4,601
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,224195.52,2024-06-20,2024-07-21,Virginia,479.0,0,70.1,8.0,5,146.9,623
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,39922.44,2023-04-30,2023-05-13,Washington,321.2,0,78.0,9.1,5,166.8,629
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,210863.07,2024-03-15,2024-05-09,California,478.5,0,88.1,10.7,5,143.6,489
Tesla Model Y,Long Range,Midnight Silver Metallic,Electric,Automatic,63089.13,2025-02-01,2025-04-08,Nevada,323.2,0,92.8,9.8,7,166.3,652
Tesla Model Y,Performance,Midnight Silver Metallic,Electric,Automatic,66309.63,2024-11-04,2024-11-28,Oregon,281.7,0,63.2,8.5,7,145.1,897
Tesla Model 3,Performance,Deep Blue Metallic,Electric,Automatic,47608.2,2024-09-08,2024-11-22,Illinois,318.2,0,90.1,8.5,5,147.5,616
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,78230.12,2023-03-31,2023-06-03,New Jersey,418.8,0,82.9,0.6,5,167.4,559
Tesla Roadster,Performance,Solid Black,Electric,Automatic,231000.1,2023-07-11,2023-09-05,Connecticut,619.5,0,74.6,11.9,5,148.6,567
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,76197.65,2023-08-28,2023-09-24,Maryland,403.3,0,85.9,11.7,5,169.6,546
Tesla Roadster,Performance,Red Multi-Coat,Electric,Automatic,227213.95,2023-11-12,2023-12-04,New Jersey,609.7,0,80.6,4.6,5,157.8,502
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,87252.31,2025-02-08,2025-03-22,Maryland,372.0,0,78.2,2.4,5,151.0,543
Tesla Roadster,Performance,Red Multi-Coat,Electric,Automatic,222982.93,2024-12-22,2025-01-22,Nevada,526.4,0,76.1,9.6,5,143.1,604
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,120683.61,2024-09-05,2024-10-06,Arizona,368.5,0,63.9,7.9,5,166.6,595
Tesla Roadster,Plaid,Red Multi-Coat,Electric,Automatic,230966.74,2024-11-04,2024-12-15,Maryland,427.6,0,96.7,6.1,5,160.3,544
Tesla Cybertruck,Standard Range,Pearl White,Electric,Automatic,69384.41,2024-08-28,2024-09-10,Connecticut,497.1,0,82.7,1.6,5,169.3,497
Tesla Roadster,Performance,Solid Black,Electric,Automatic,223503.65,2024-10-25,2024-12-21,Connecticut,562.9,0,96.1,10.5,5,149.2,433
Tesla Roadster,Performance,Pearl White,Electric,Automatic,221179.17,2023-06-26,2023-07-21,Connecticut,406.0,0,83.5,10.5,5,155.9,451
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,44683.95,2024-01-07,2024-03-01,Florida,277.4,0,74.8,9.9,5,162.9,630
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,44395.36,2023-07-27,2023-10-16,Florida,280.4,0,64.9,11.7,5,167.5,466
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,116145.34,2023-11-27,2024-02-21,Texas,331.6,0,99.4,7.6,7,156.8,681
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,200660.82,2023-07-31,2023-10-15,Massachusetts,417.9,0,67.1,9.8,5,156.9,638
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,106060.27,2023-04-06,2023-05-09,Illinois,362.2,0,67.7,8.1,5,155.7,513
Tesla Model Y,Performance,Solid Black,Electric,Automatic,55509.01,2023-06-29,2023-08-08,Massachusetts,309.0,0,85.9,9.3,7,163.3,637
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,217079.25,2023-08-21,2023-09-25,Colorado,455.4,0,66.3,10.3,5,153.2,449
Tesla Model 3,Performance,Red Multi-Coat,Electric,Automatic,52029.33,2023-05-22,2023-06-19,Arizona,288.0,0,93.6,7.0,5,143.7,649
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,123833.09,2023-04-14,2023-05-01,Illinois,321.7,0,81.8,2.7,5,167.6,546
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,65232.71,2023-12-19,2024-01-16,Connecticut,326.1,0,89.2,3.2,5,157.3,447
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,126499.31,2024-09-21,2024-10-19,Massachusetts,306.8,0,84.1,4.2,7,165.2,818
Tesla Model Y,Long Range,Pearl White,Electric,Automatic,62359.03,2024-01-04,2024-03-03,Connecticut,291.2,0,75.3,10.7,7,160.1,717
Tesla Cybertruck,Plaid,Deep Blue Metallic,Electric,Automatic,68484.07,2023-10-02,2023-10-21,Florida,372.2,0,80.1,6.4,5,165.7,608
Tesla Model S,Standard Range,Pearl White,Electric,Automatic,120832.17,2023-05-22,2023-08-04,Arizona,394.7,0,78.6,3.9,5,163.2,433
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,97233.61,2023-12-04,2023-12-05,Texas,403.6,0,65.6,9.3,5,149.0,542
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,73164.85,2023-09-03,2023-10-07,Arizona,371.2,0,99.0,0.8,5,161.5,573
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,41797.82,2025-01-06,2025-03-23,California,267.2,0,68.7,10.0,5,154.7,567
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,50300.77,2024-04-07,2024-06-16,Washington,317.2,0,62.7,4.0,5,162.0,591
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,134511.3,2024-08-28,2024-10-05,Florida,322.1,0,90.6,5.0,7,141.5,613
Tesla Model X,Long Range,Solid Black,Electric,Automatic,82256.48,2024-06-29,2024-09-22,New Jersey,343.4,0,79.4,0.7,7,144.3,489
Tesla Model S,Plaid,Pearl White,Electric,Automatic,120577.98,2024-11-27,2024-12-08,New Jersey,337.2,0,82.2,4.6,5,159.5,429
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,223292.43,2023-10-01,2023-10-24,Arizona,466.7,0,94.5,6.3,5,158.1,440
Tesla Model X,Plaid,Ultra Red,Electric,Automatic,135979.76,2024-04-14,2024-05-09,Virginia,311.5,0,80.9,4.4,7,147.0,697
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,45556.6,2024-12-02,2024-12-12,California,313.6,0,84.4,9.9,5,149.5,598
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,74187.94,2023-12-07,2023-12-08,Florida,497.7,0,68.1,3.1,5,165.3,537
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,86508.19,2024-08-23,2024-09-23,Nevada,375.8,0,64.8,10.9,5,153.1,456
Tesla Model Y,Standard Range,Pearl White,Electric,Automatic,67459.41,2023-11-15,2024-01-06,Massachusetts,273.4,0,61.0,4.2,7,156.4,847
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,110820.17,2024-06-10,2024-08-04,Florida,319.0,0,94.5,9.6,7,156.0,575
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,103619.4,2024-01-17,2024-03-20,New Jersey,387.2,0,88.2,9.1,5,146.8,536
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,87836.06,2024-01-05,2024-01-17,Virginia,347.7,0,64.4,4.5,5,165.9,624
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,119970.27,2025-02-04,2025-02-08,Florida,326.3,0,74.1,7.2,7,145.2,471
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,66538.82,2023-12-15,2024-02-23,Massachusetts,301.0,0,74.8,4.3,7,141.0,662
Tesla Model Y,Standard Range,Deep Blue Metallic,Electric,Automatic,44107.82,2023-03-24,2023-06-10,Illinois,320.8,0,72.8,2.0,7,148.8,484
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,84344.07,2024-11-12,2024-11-15,Arizona,347.5,0,81.8,6.7,5,163.9,427
Tesla Cybertruck,Plaid,Deep Blue Metallic,Electric,Automatic,64465.16,2025-01-15,2025-03-01,Florida,261.7,0,92.4,7.4,5,167.7,506
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,49248.99,2024-07-02,2024-08-09,Colorado,274.5,0,86.8,9.6,5,150.2,545
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,61449.83,2023-10-02,2023-10-19,Washington,482.9,0,69.1,8.6,5,147.5,546
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,46604.88,2024-09-28,2024-11-08,New Jersey,314.3,0,87.1,10.2,5,163.8,623
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,56436.73,2025-01-19,2025-03-27,Oregon,297.3,0,74.3,4.9,5,154.4,437
Tesla Model S,Long Range,Solid Black,Electric,Automatic,109949.85,2024-01-12,2024-01-25,New York,395.3,0,61.0,8.5,5,151.9,640
Tesla Model X,Plaid,Ultra Red,Electric,Automatic,127584.34,2024-04-14,2024-05-19,Washington,338.4,0,70.0,3.2,7,153.4,636
Tesla Roadster,Long Range,Pearl White,Electric,Automatic,205467.14,2024-08-29,2024-11-12,Maryland,452.1,0,75.3,7.5,5,153.3,639
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,115129.67,2024-09-22,2024-11-04,New Jersey,325.8,0,61.9,10.0,5,155.9,501
Tesla Model Y,Standard Range,Pearl White,Electric,Automatic,56950.18,2024-04-01,2024-05-30,Maryland,266.8,0,69.2,11.2,7,144.0,594
Tesla Model S,Performance,Red Multi-Coat,Electric,Automatic,83883.68,2023-11-25,2023-12-18,Connecticut,369.3,0,61.8,7.3,5,144.7,487
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,46068.21,2024-02-06,2024-04-11,Colorado,304.8,0,77.0,8.8,5,152.7,574
Tesla Model S,Performance,Solid Black,Electric,Automatic,80810.45,2024-06-12,2024-07-12,Washington,321.0,0,73.4,10.2,5,143.3,568
Tesla Roadster,Performance,Stealth Grey,Electric,Automatic,242326.94,2025-03-08,2025-05-23,New Jersey,488.7,0,83.4,1.5,5,150.1,562
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,108814.63,2023-12-23,2024-02-29,New Jersey,377.5,0,72.6,8.3,5,161.0,610
Tesla Model S,Standard Range,Solid Black,Electric,Automatic,115697.72,2023-05-05,2023-06-29,Washington,346.3,0,95.1,7.4,5,148.4,634
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,204521.96,2024-12-05,2025-03-02,Texas,615.4,0,79.2,9.2,5,147.6,650
Tesla Model 3,Performance,Red Multi-Coat,Electric,Automatic,45698.72,2023-05-18,2023-07-07,Virginia,307.7,0,74.8,7.3,5,161.8,515
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,49419.98,2025-01-02,2025-01-04,Nevada,331.6,0,96.8,11.8,5,147.8,593
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,66458.06,2023-04-27,2023-05-12,Massachusetts,473.7,0,93.0,0.9,5,164.7,618
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,65042.81,2023-07-23,2023-08-08,Colorado,303.4,0,62.9,3.9,7,166.1,893
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,44376.89,2023-10-20,2024-01-06,Oregon,274.7,0,80.0,8.5,5,146.8,621
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,102597.61,2024-11-08,2024-11-10,Arizona,347.9,0,76.3,6.1,7,145.6,721
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,61066.41,2023-11-07,2023-12-01,Oregon,271.2,0,78.0,0.7,7,144.8,519
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,42909.65,2023-08-19,2023-09-21,Connecticut,281.3,0,75.9,0.5,5,148.4,504
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,88867.89,2023-06-11,2023-09-07,Oregon,325.3,0,69.2,11.6,7,158.6,553
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,111875.33,2024-07-26,2024-08-21,Connecticut,324.6,0,99.8,1.3,7,156.1,811
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,209789.32,2023-04-04,2023-05-24,Maryland,526.1,0,99.2,4.2,5,165.1,518
Tesla Model 3,Performance,Solid Black,Electric,Automatic,44563.24,2025-01-11,2025-03-10,Arizona,277.9,0,74.3,7.7,5,165.0,497
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,238993.22,2024-11-05,2025-01-23,Florida,561.7,0,92.2,9.2,5,169.3,500
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,136122.04,2024-01-22,2024-03-07,Florida,337.2,0,66.3,8.4,7,148.3,713
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,43845.19,2025-01-29,2025-02-23,Washington,290.1,0,68.7,10.0,5,155.3,496
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,133971.72,2023-05-10,2023-06-11,Oregon,325.5,0,70.2,9.5,7,153.6,581
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,52515.95,2024-09-14,2024-10-21,Connecticut,332.9,0,76.1,8.5,5,167.9,582
Tesla Model Y,Standard Range,Pearl White,Electric,Automatic,65178.59,2023-09-20,2023-11-16,New Jersey,303.1,0,88.7,0.5,7,149.2,831
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,44305.26,2023-10-11,2023-12-27,New York,271.6,0,97.9,11.2,5,159.7,509
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,85699.09,2024-09-20,2024-10-19,Washington,305.5,0,62.9,9.4,7,158.0,738
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,58812.88,2023-09-15,2023-10-01,Illinois,435.2,0,94.2,9.0,5,154.9,502
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,61408.35,2024-02-24,2024-05-08,Virginia,301.5,0,95.3,5.7,7,160.1,813
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,231107.96,2023-12-17,2024-02-12,Texas,491.0,0,86.3,1.8,5,152.5,488
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,232437.53,2024-04-03,2024-04-23,Maryland,542.4,0,79.4,5.3,5,156.2,626
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,59949.59,2023-07-27,2023-09-02,Virginia,284.2,0,80.8,4.7,7,169.1,632
Tesla Roadster,Long Range,Pearl White,Electric,Automatic,204622.83,2023-07-02,2023-09-11,Texas,464.4,0,82.8,8.0,5,145.6,646
Tesla Model S,Standard Range,Pearl White,Electric,Automatic,128586.11,2024-05-01,2024-05-24,New Jersey,386.7,0,98.3,8.3,5,164.0,483
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,122440.09,2025-03-09,2025-05-31,Illinois,388.0,0,99.2,2.2,5,161.2,611
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,123120.18,2023-09-28,2023-09-29,New York,319.3,0,84.3,8.4,7,147.6,456
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,240046.57,2023-03-14,2023-05-31,Florida,505.7,0,81.9,5.7,5,146.1,468
Tesla Model 3,Long Range,Midnight Silver Metallic,Electric,Automatic,48404.61,2024-07-21,2024-08-15,Maryland,327.4,0,64.2,8.2,5,144.7,631
Tesla Roadster,Long Range,Solid Black,Electric,Automatic,220847.75,2023-08-25,2023-09-16,California,551.4,0,97.8,6.1,5,162.9,573
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,54160.42,2023-07-22,2023-09-04,Washington,399.2,0,83.5,5.2,5,161.6,460
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,41668.97,2024-09-27,2024-10-07,Oregon,328.7,0,90.8,3.8,5,165.5,567
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,40754.79,2023-08-04,2023-09-20,Connecticut,293.4,0,66.4,10.1,5,165.9,564
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,79742.51,2023-10-30,2024-01-13,Nevada,444.0,0,88.1,2.4,5,153.3,472
Tesla Model 3,Performance,Red Multi-Coat,Electric,Automatic,51711.42,2025-02-15,2025-02-26,Texas,287.1,0,68.6,5.7,5,149.4,649
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,225005.71,2024-02-03,2024-02-21,New Jersey,516.1,0,66.5,5.7,5,154.6,647
Tesla Model S,Performance,Solid Black,Electric,Automatic,86207.57,2024-05-17,2024-06-17,New York,326.5,0,92.9,2.5,5,156.4,642
Tesla Roadster,Performance,Stealth Grey,Electric,Automatic,242799.56,2024-02-07,2024-03-22,Massachusetts,601.2,0,80.9,11.2,5,157.6,645
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,118241.94,2024-01-13,2024-03-23,Texas,322.8,0,88.5,10.0,7,151.7,853
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,42032.46,2024-09-02,2024-09-17,Maryland,269.1,0,90.7,4.0,5,143.9,579
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,138963.87,2024-12-22,2025-02-12,Illinois,323.9,0,82.0,8.4,7,169.5,554
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,49236.45,2024-05-22,2024-07-17,Connecticut,323.5,0,74.4,1.1,5,168.8,464
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,82813.41,2023-04-24,2023-06-20,Maryland,339.2,0,84.1,3.7,5,140.4,601
Tesla Model S,Performance,Solid Black,Electric,Automatic,126843.16,2023-08-20,2023-09-26,Colorado,334.6,0,72.7,1.0,5,143.5,433
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,70105.6,2025-03-10,2025-05-16,Oregon,479.9,0,87.9,6.0,5,167.7,555
Tesla Model X,Long Range,Pearl White,Electric,Automatic,126090.3,2023-06-17,2023-09-12,Arizona,340.7,0,67.8,1.8,7,168.4,465
Tesla Model S,Long Range,Pearl White,Electric,Automatic,88303.28,2024-10-22,2024-12-07,Arizona,341.8,0,60.7,10.7,5,161.4,470
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,48544.43,2025-03-06,2025-04-21,Virginia,314.6,0,84.8,11.3,7,158.3,823
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,49268.28,2023-09-14,2023-11-12,Florida,291.3,0,77.1,0.8,5,159.8,550
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,60839.44,2023-09-09,2023-12-08,Washington,266.7,0,94.3,9.6,7,150.8,838
Tesla Model 3,Standard Range,Midnight Silver Metallic,Electric,Automatic,51824.8,2024-10-07,2024-11-02,Virginia,324.8,0,77.3,1.0,5,140.4,613
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,46653.55,2024-07-02,2024-09-27,California,293.6,0,72.4,3.7,7,155.8,430
Tesla Model 3,Long Range,Midnight Silver Metallic,Electric,Automatic,52202.96,2024-10-18,2024-12-29,Texas,311.1,0,78.5,9.6,5,147.1,558
