model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,seating_capacity,ground_clearance,boot_space
BMW M8,Red Multi-Coat,Diesel,Automatic,156175.71,2024-10-26,2025-01-22,Italy,341.0,6,165.7,492
Audi RS e-tron GT,Red Multi-Coat,Oil,Automatic,152946.97,2024-05-12,2024-07-30,Nevada,375.6,6,159.6,441
Audi RS7,Stealth Grey,Oil,Automatic,125037.75,2023-12-14,2023-12-20,Italy,271.0,6,146.1,576
Maserati MC20,Red Multi-Coat,Oil,Automatic,244926.49,2024-09-04,2024-09-24,Washington,347.6,6,151.7,505
Porsche 911,Ultra Red,Diesel,Automatic,212463.9,2024-07-28,2024-08-05,Connecticut,303.3,6,154.8,482
Lexus LC 500,Ultra Red,Oil,Automatic,98322.07,2024-03-09,2024-05-05,New York,328.9,6,160.6,549
Lotus Emira,Solid Black,Oil,Automatic,91212.57,2024-03-13,2024-04-09,South Korea,259.3,6,160.2,514
Jaguar F-Type,Pearl White,Oil,Automatic,92248.12,2025-01-16,2025-02-24,Connecticut,300.2,6,161.9,624
Lamborghini Huracán,Deep Blue Metallic,Oil,Automatic,240996.46,2023-08-20,2023-09-14,Colorado,305.6,6,149.8,477
Porsche 911,Solid Black,Diesel,Automatic,202946.68,2024-06-15,2024-09-06,New York,330.1,6,163.6,462
Alpine A110,Red Multi-Coat,Oil,Automatic,66351.73,2024-03-26,2024-04-16,Japan,211.6,6,140.8,643
Porsche Cayman GT4,Deep Blue Metallic,Diesel,Automatic,119951.27,2023-09-13,2023-11-16,South Korea,246.1,6,151.6,596
Lamborghini Huracán,Deep Blue Metallic,Diesel,Automatic,213895.75,2025-02-16,2025-02-27,Nevada,306.8,6,162.9,475
Pagani Huayra,Solid Black,Oil,Automatic,2896013.34,2024-02-03,2024-02-24,German,359.4,6,148.5,649
Porsche 911,Solid Black,Oil,Automatic,133317.66,2023-06-10,2023-07-31,Maryland,328.1,6,146.0,602
BMW M5 CS,Stealth Grey,Oil,Automatic,153093.99,2024-02-03,2024-02-23,New York,280.6,6,159.0,484
Mercedes-AMG GT,Stealth Grey,Oil,Automatic,136154.38,2024-12-10,2025-02-18,New Jersey,288.2,6,157.8,613
Lexus LC 500,Midnight Silver Metallic,Diesel,Automatic,95254.79,2023-07-10,2023-08-01,Virginia,292.3,6,159.5,619
Porsche Cayman GT4,Stealth Grey,Oil,Automatic,113421.36,2023-08-12,2023-10-20,New Jersey,279.4,6,150.2,505
Lamborghini Huracán,Red Multi-Coat,Oil,Automatic,236874.37,2023-12-05,2023-12-10,New Jersey,328.0,6,165.0,529
Porsche 911,Solid Black,Oil,Automatic,136920.9,2025-04-25,2025-05-01,Japan,329.8,6,162.1,497
McLaren 720S,Ultra Red,Oil,Automatic,309981.61,2023-07-02,2023-08-30,Maryland,329.5,6,141.2,623
Porsche Cayman GT4,Stealth Grey,Diesel,Automatic,122753.07,2023-08-24,2023-11-06,Colorado,252.4,6,143.0,427
Rolls-Royce Ghost,Midnight Silver Metallic,Oil,Automatic,386252.93,2024-11-22,2024-11-26,Japan,359.9,6,156.4,531
Rolls-Royce Ghost,Midnight Silver Metallic,Diesel,Automatic,403699.65,2023-08-04,2023-09-27,Nevada,327.8,6,145.7,426
BMW M5 CS,Solid Black,Oil,Automatic,158215.71,2024-03-23,2024-06-16,Colorado,270.8,6,140.2,625
Koenigsegg Jesko,Midnight Silver Metallic,Diesel,Automatic,3331393.56,2023-12-11,2024-02-08,German,391.0,6,163.2,527
Bentley Continental GT,Deep Blue Metallic,Oil,Automatic,224805.21,2025-01-20,2025-02-20,Nevada,307.4,6,142.9,544
Koenigsegg Jesko,Midnight Silver Metallic,Oil,Automatic,3381527.98,2024-02-02,2024-03-26,German,366.4,6,156.1,640
Jaguar F-Type,Red Multi-Coat,Oil,Automatic,75015.62,2024-10-20,2024-12-17,Massachusetts,268.7,6,155.2,533
Nissan GT-R,Stealth Grey,Diesel,Automatic,138010.09,2023-10-28,2023-11-22,New Jersey,285.7,6,142.7,438
Aston Martin Vantage,Stealth Grey,Oil,Automatic,153567.69,2023-06-13,2023-06-19,South Korea,299.6,6,158.3,459
Maserati Ghibli,Deep Blue Metallic,Oil,Automatic,78881.33,2025-03-31,2025-05-29,New York,293.2,6,164.4,536
Bentley Continental GT,Pearl White,Oil,Automatic,228189.93,2024-08-03,2024-10-24,New Jersey,345.8,6,166.9,580
Maserati MC20,Deep Blue Metallic,Oil,Automatic,251769.45,2023-11-19,2024-01-10,China,335.5,6,143.3,619
Lotus Emira,Red Multi-Coat,Diesel,Automatic,100298.65,2025-03-26,2025-04-26,Connecticut,225.3,6,169.8,622
Porsche Cayman GT4,Ultra Red,Oil,Automatic,112358.34,2023-08-23,2023-11-13,Maryland,251.3,6,158.1,566
Lamborghini Huracán,Midnight Silver Metallic,Diesel,Automatic,288754.14,2024-03-10,2024-06-05,German,300.3,6,159.4,463
Maserati Ghibli,Stealth Grey,Diesel,Automatic,94612.62,2024-02-01,2024-03-20,Colorado,255.2,6,147.0,440
Lotus Emira,Deep Blue Metallic,Oil,Automatic,102034.55,2024-03-30,2024-05-30,Japan,253.9,6,168.0,567
Bugatti Chiron,Midnight Silver Metallic,Diesel,Automatic,2681054.68,2025-02-25,2025-04-29,Colorado,362.2,6,146.0,646
BMW M5 CS,Ultra Red,Diesel,Automatic,163517.7,2024-08-07,2024-08-25,Colorado,299.5,6,150.8,449
Jaguar F-Type,Ultra Red,Oil,Automatic,86813.87,2024-03-22,2024-05-06,Washington,265.6,6,155.5,614
Alpine A110,Stealth Grey,Oil,Automatic,81650.26,2023-11-17,2023-11-18,Washington,188.5,6,155.7,596
Nissan GT-R,Deep Blue Metallic,Diesel,Automatic,124666.28,2025-04-10,2025-04-25,Colorado,305.1,6,151.5,503
Maserati Ghibli,Red Multi-Coat,Oil,Automatic,82258.31,2024-11-05,2025-01-08,Italy,274.3,6,167.0,609
Pagani Huayra,Stealth Grey,Diesel,Automatic,3007835.9,2023-10-20,2023-12-12,Massachusetts,332.4,6,168.8,619
Alpine A110,Stealth Grey,Oil,Automatic,74232.54,2023-07-27,2023-10-19,China,192.7,6,165.4,462
Ferrari SF90,Ultra Red,Diesel,Automatic,514322.8,2023-08-11,2023-08-31,Italy,365.6,6,148.7,471
Lotus Emira,Stealth Grey,Diesel,Automatic,95084.94,2024-07-26,2024-10-08,Nevada,230.7,6,142.8,648
Nissan GT-R,Midnight Silver Metallic,Diesel,Automatic,123750.45,2023-10-24,2024-01-03,New York,284.1,6,147.5,610
Maserati Ghibli,Ultra Red,Diesel,Automatic,90663.71,2025-04-11,2025-05-16,South Korea,287.5,6,157.6,613
Pagani Huayra,Ultra Red,Oil,Automatic,2943471.63,2024-06-28,2024-09-04,German,357.4,6,158.7,512
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,121006.16,2023-12-16,2024-01-02,German,273.7,6,154.8,629
Range Rover Sport,Solid Black,Diesel,Automatic,121786.17,2023-08-22,2023-09-06,Washington,292.4,6,151.3,586
Jaguar F-Type,Stealth Grey,Oil,Automatic,88773.06,2023-09-28,2023-11-20,New Jersey,287.9,6,140.4,642
McLaren 720S,Red Multi-Coat,Oil,Automatic,321178.37,2024-11-17,2025-02-08,New York,306.6,6,163.3,598
Lexus LC 500,Stealth Grey,Diesel,Automatic,102139.65,2023-09-26,2023-11-23,Washington,307.9,6,159.8,552
Bugatti Chiron,Ultra Red,Oil,Automatic,2624317.0,2024-10-25,2024-11-06,Maryland,351.9,6,151.3,558
Mercedes-AMG GT,Solid Black,Oil,Automatic,125411.14,2024-10-24,2024-12-16,China,286.6,6,161.6,514
Porsche 911,Stealth Grey,Diesel,Automatic,221905.77,2023-10-12,2023-12-24,German,313.2,6,167.7,430
Maserati MC20,Pearl White,Oil,Automatic,254888.54,2023-11-09,2024-02-04,Massachusetts,343.5,6,149.0,593
Porsche Cayman GT4,Red Multi-Coat,Oil,Automatic,124051.19,2024-09-09,2024-11-28,Virginia,248.7,6,150.7,465
Aston Martin Vantage,Pearl White,Oil,Automatic,150772.67,2025-04-16,2025-05-04,Japan,272.9,6,163.5,485
Rolls-Royce Ghost,Stealth Grey,Oil,Automatic,361227.45,2025-04-08,2025-04-15,Virginia,371.4,6,163.4,430
Alpine A110,Stealth Grey,Diesel,Automatic,69350.04,2024-07-03,2024-07-12,China,199.0,6,150.3,638
Maserati MC20,Red Multi-Coat,Oil,Automatic,263506.63,2024-12-19,2025-01-22,Colorado,316.3,6,163.0,600
Rolls-Royce Ghost,Stealth Grey,Oil,Automatic,423940.4,2023-07-30,2023-10-21,Connecticut,324.0,6,148.3,463
Audi RS7,Ultra Red,Oil,Automatic,127726.99,2025-04-25,2025-05-01,Colorado,287.3,6,147.8,550
Lotus Emira,Red Multi-Coat,Oil,Automatic,94521.88,2023-12-03,2024-02-18,Nevada,225.9,6,161.5,582
Mercedes-AMG GT,Stealth Grey,Oil,Automatic,158907.41,2024-04-19,2024-05-05,Nevada,291.2,6,150.8,477
Aston Martin Vantage,Pearl White,Oil,Automatic,157860.04,2024-03-09,2024-06-03,Virginia,275.0,6,162.4,511
Pagani Huayra,Ultra Red,Diesel,Automatic,2878409.48,2025-05-18,2025-07-06,Maryland,373.0,6,151.2,648
Audi RS7,Red Multi-Coat,Diesel,Automatic,141630.72,2025-03-21,2025-04-13,France,276.7,6,166.4,505
Porsche 911,Deep Blue Metallic,Oil,Automatic,126079.84,2025-04-09,2025-05-28,Virginia,337.0,6,165.5,428
Koenigsegg Jesko,Deep Blue Metallic,Oil,Automatic,3478541.57,2024-03-16,2024-04-08,New York,382.0,6,158.4,642
Audi RS e-tron GT,Ultra Red,Diesel,Automatic,167708.68,2024-05-04,2024-06-16,Nevada,396.1,6,152.5,541
Aston Martin DBS,Pearl White,Oil,Automatic,355136.95,2025-03-10,2025-04-12,Maryland,319.6,6,141.3,512
McLaren 720S,Deep Blue Metallic,Diesel,Automatic,283125.12,2023-07-11,2023-07-20,Maryland,319.1,6,165.7,524
Lexus LC 500,Deep Blue Metallic,Oil,Automatic,107281.9,2024-02-04,2024-04-05,Massachusetts,296.4,6,142.7,590
Bentley Continental GT,Midnight Silver Metallic,Oil,Automatic,270820.06,2024-09-18,2024-12-04,Italy,342.2,6,165.7,552
Bugatti Chiron,Ultra Red,Oil,Automatic,2957412.48,2025-01-24,2025-04-13,Connecticut,416.3,6,166.1,445
Lotus Emira,Midnight Silver Metallic,Diesel,Automatic,103340.31,2023-10-21,2023-10-23,Washington,256.5,6,150.1,595
Porsche 911,Midnight Silver Metallic,Oil,Automatic,243418.55,2023-12-16,2024-02-18,Maryland,343.1,6,144.5,487
Pagani Huayra,Solid Black,Oil,Automatic,2994747.62,2024-05-19,2024-06-10,Washington,368.4,6,144.2,432
Audi RS e-tron GT,Stealth Grey,Oil,Automatic,164475.41,2024-06-28,2024-09-18,German,411.4,6,161.0,438
McLaren 720S,Stealth Grey,Diesel,Automatic,309474.56,2024-07-26,2024-08-12,New York,349.6,6,145.6,628
Ferrari SF90,Stealth Grey,Diesel,Automatic,510008.74,2025-04-03,2025-05-08,Washington,371.9,6,155.9,483
Aston Martin DBS,Midnight Silver Metallic,Oil,Automatic,326043.75,2024-12-07,2024-12-27,German,334.1,6,144.3,465
Jaguar F-Type,Red Multi-Coat,Oil,Automatic,84167.54,2024-03-21,2024-05-04,New Jersey,294.9,6,141.1,619
Lamborghini Huracán,Pearl White,Oil,Automatic,247428.02,2023-06-11,2023-06-12,New Jersey,328.9,6,151.3,454
Aston Martin Vantage,Red Multi-Coat,Oil,Automatic,171804.71,2023-08-24,2023-10-24,Connecticut,276.3,6,160.2,601
Range Rover Sport,Stealth Grey,Oil,Automatic,104622.91,2024-10-18,2024-11-23,Japan,273.2,6,162.5,598
Koenigsegg Jesko,Midnight Silver Metallic,Oil,Automatic,3244175.47,2023-08-23,2023-09-04,Italy,352.5,6,164.8,562
Porsche 911,Deep Blue Metallic,Oil,Automatic,147098.14,2024-01-18,2024-04-06,Washington,305.2,6,150.0,612
McLaren 720S,Ultra Red,Diesel,Automatic,311815.21,2024-01-28,2024-02-19,France,302.7,6,151.8,527
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3141657.26,2025-03-24,2025-05-07,Nevada,378.1,6,161.5,585
Lamborghini Huracán,Red Multi-Coat,Diesel,Automatic,241453.47,2024-02-09,2024-02-17,Maryland,324.3,6,151.3,636
Lotus Emira,Pearl White,Diesel,Automatic,88056.18,2024-05-19,2024-08-11,Italy,260.4,6,156.3,473
Audi RS e-tron GT,Ultra Red,Diesel,Automatic,150938.66,2024-06-04,2024-07-15,Virginia,378.6,6,144.7,627
Range Rover Sport,Ultra Red,Oil,Automatic,84111.63,2023-06-14,2023-06-16,New York,281.4,6,147.4,588
Nissan GT-R,Pearl White,Diesel,Automatic,136148.86,2025-03-08,2025-05-16,South Korea,299.8,6,157.4,553
Jaguar F-Type,Midnight Silver Metallic,Diesel,Automatic,87498.26,2024-02-20,2024-05-17,Italy,297.0,6,158.1,538
Lexus LC 500,Midnight Silver Metallic,Oil,Automatic,103177.37,2024-02-12,2024-03-24,Maryland,301.4,6,143.6,573
Audi RS7,Pearl White,Oil,Automatic,125105.51,2025-05-03,2025-07-08,Connecticut,278.9,6,165.0,440
Nissan GT-R,Ultra Red,Diesel,Automatic,120897.95,2024-09-17,2024-12-06,Massachusetts,283.8,6,154.0,638
Lotus Emira,Stealth Grey,Diesel,Automatic,91139.5,2023-07-26,2023-07-31,New Jersey,246.4,6,161.0,494
Ferrari SF90,Red Multi-Coat,Oil,Automatic,502734.61,2025-04-30,2025-07-28,South Korea,356.1,6,169.9,496
Alpine A110,Red Multi-Coat,Oil,Automatic,78976.53,2024-10-30,2025-01-18,Nevada,206.6,6,163.7,449
Lamborghini Huracán,Midnight Silver Metallic,Oil,Automatic,249493.65,2024-08-01,2024-10-02,German,317.7,6,149.7,436
Nissan GT-R,Red Multi-Coat,Oil,Automatic,117634.0,2023-07-12,2023-10-07,Massachusetts,308.7,6,159.1,540
Audi RS7,Pearl White,Oil,Automatic,129370.42,2023-10-08,2023-11-13,Italy,298.3,6,142.7,638
Ferrari SF90,Solid Black,Oil,Automatic,524263.12,2025-01-28,2025-02-24,Maryland,348.6,6,157.6,577
Range Rover Sport,Stealth Grey,Oil,Automatic,141931.1,2025-01-31,2025-02-08,Japan,294.3,6,147.6,506
Porsche 911,Deep Blue Metallic,Diesel,Automatic,176217.38,2024-08-22,2024-10-16,Nevada,349.9,6,145.4,596
Aston Martin Vantage,Deep Blue Metallic,Diesel,Automatic,166904.35,2023-06-26,2023-06-28,France,293.8,6,161.1,460
Alpine A110,Midnight Silver Metallic,Diesel,Automatic,84023.09,2024-11-25,2024-12-26,Italy,183.5,6,156.9,607
Porsche 911,Red Multi-Coat,Diesel,Automatic,206405.75,2024-07-11,2024-09-30,Massachusetts,349.7,6,165.1,626
McLaren 720S,Red Multi-Coat,Oil,Automatic,337999.28,2023-12-26,2024-01-07,Washington,353.4,6,158.4,436
Maserati Ghibli,Deep Blue Metallic,Oil,Automatic,80837.45,2024-12-23,2025-02-04,China,290.6,6,142.5,643
Audi RS7,Stealth Grey,Oil,Automatic,131166.18,2024-08-24,2024-09-30,South Korea,269.1,6,169.9,569
Mercedes-AMG GT,Pearl White,Oil,Automatic,134910.41,2024-04-07,2024-06-28,German,316.2,6,158.0,488
BMW M5 CS,Ultra Red,Oil,Automatic,140309.1,2024-07-09,2024-08-02,Connecticut,277.0,6,142.5,595
Maserati Ghibli,Stealth Grey,Diesel,Automatic,87203.32,2023-12-17,2024-02-05,Italy,260.0,6,154.8,436
Range Rover Sport,Deep Blue Metallic,Diesel,Automatic,138479.12,2024-09-15,2024-10-22,New York,279.2,6,146.0,489
Nissan GT-R,Pearl White,Oil,Automatic,141355.71,2024-02-29,2024-05-20,Japan,307.8,6,160.7,549
Range Rover Sport,Pearl White,Oil,Automatic,130292.53,2024-11-12,2024-12-13,France,271.5,6,145.1,471
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3083711.09,2023-09-14,2023-11-25,Connecticut,347.6,6,160.6,639
Maserati Ghibli,Stealth Grey,Diesel,Automatic,81772.34,2025-01-22,2025-03-23,New Jersey,294.3,6,168.5,548
Nissan GT-R,Midnight Silver Metallic,Oil,Automatic,123421.97,2025-02-16,2025-02-26,Virginia,275.1,6,162.1,432
BMW M8,Red Multi-Coat,Oil,Automatic,143248.47,2023-08-04,2023-09-16,Connecticut,336.3,6,162.7,541
Aston Martin DBS,Deep Blue Metallic,Diesel,Automatic,350522.49,2025-04-19,2025-05-03,Maryland,320.3,6,145.5,435
McLaren 720S,Solid Black,Diesel,Automatic,325095.47,2024-12-02,2025-02-11,New Jersey,347.3,6,160.8,464
Audi RS7,Stealth Grey,Diesel,Automatic,143440.58,2024-07-15,2024-08-29,New Jersey,276.3,6,142.2,425
Bugatti Chiron,Ultra Red,Diesel,Automatic,3282133.12,2024-05-26,2024-07-28,Virginia,354.2,6,157.3,554
BMW M8,Deep Blue Metallic,Diesel,Automatic,151122.12,2023-06-27,2023-08-15,New York,347.1,6,147.8,569
Alpine A110,Red Multi-Coat,Oil,Automatic,75654.8,2025-02-02,2025-02-14,South Korea,217.2,6,164.6,477
Bentley Continental GT,Stealth Grey,Oil,Automatic,227846.05,2025-01-23,2025-03-29,New Jersey,328.1,6,145.1,527
Maserati MC20,Red Multi-Coat,Oil,Automatic,249202.52,2024-01-21,2024-03-26,New York,336.6,6,153.2,450
Maserati Ghibli,Deep Blue Metallic,Oil,Automatic,92442.43,2025-02-20,2025-02-27,China,282.8,6,155.8,458
Lexus LC 500,Midnight Silver Metallic,Oil,Automatic,100455.14,2024-10-25,2024-11-15,Connecticut,310.7,6,161.7,620
Audi RS7,Deep Blue Metallic,Diesel,Automatic,129052.94,2023-09-27,2023-11-11,Japan,276.7,6,155.8,576
Koenigsegg Jesko,Ultra Red,Oil,Automatic,3027179.78,2024-05-12,2024-06-23,Nevada,369.8,6,155.1,510
Pagani Huayra,Stealth Grey,Diesel,Automatic,3016073.0,2023-10-14,2023-12-03,New Jersey,361.4,6,152.0,534
Koenigsegg Jesko,Deep Blue Metallic,Oil,Automatic,3429002.04,2024-08-16,2024-11-11,Massachusetts,376.4,6,145.8,578
Mercedes-AMG GT,Pearl White,Oil,Automatic,157410.8,2024-03-25,2024-05-25,New York,296.0,6,168.1,542
Koenigsegg Jesko,Stealth Grey,Oil,Automatic,3125807.97,2024-05-04,2024-07-17,France,350.7,6,164.6,589
Aston Martin Vantage,Red Multi-Coat,Diesel,Automatic,160789.45,2024-06-25,2024-08-06,Massachusetts,299.6,6,151.6,542
Lotus Emira,Midnight Silver Metallic,Oil,Automatic,87876.23,2024-12-17,2025-01-24,China,252.6,6,158.3,438
Bentley Continental GT,Stealth Grey,Diesel,Automatic,228383.27,2024-10-04,2024-12-21,New Jersey,334.9,6,142.0,613
Lamborghini Huracán,Midnight Silver Metallic,Diesel,Automatic,236315.45,2024-09-01,2024-10-20,Italy,315.9,6,163.7,438
BMW M5 CS,Pearl White,Diesel,Automatic,148612.84,2024-01-28,2024-04-25,South Korea,296.0,6,161.5,636
Porsche Cayman GT4,Ultra Red,Diesel,Automatic,105149.38,2024-02-13,2024-03-26,Maryland,265.9,6,159.0,530
Bentley Continental GT,Solid Black,Diesel,Automatic,233664.66,2024-06-21,2024-08-04,New York,301.9,6,146.8,608
Porsche 911,Ultra Red,Diesel,Automatic,160110.2,2023-08-26,2023-09-06,Colorado,348.4,6,163.5,547
Ferrari SF90,Pearl White,Diesel,Automatic,486683.93,2024-10-28,2024-11-14,Maryland,360.9,6,162.8,530
Maserati Ghibli,Deep Blue Metallic,Diesel,Automatic,89555.17,2025-05-15,2025-08-01,China,287.8,6,142.4,619
Range Rover Sport,Stealth Grey,Diesel,Automatic,125339.29,2023-10-09,2024-01-06,New York,284.2,6,157.1,541
Lamborghini Huracán,Ultra Red,Oil,Automatic,256143.6,2023-12-02,2024-02-29,Virginia,307.1,6,164.2,460
Lotus Emira,Red Multi-Coat,Oil,Automatic,86282.48,2024-09-23,2024-09-24,France,251.4,6,155.9,480
Alpine A110,Deep Blue Metallic,Oil,Automatic,75060.58,2025-01-15,2025-01-25,Connecticut,181.9,6,142.6,598
BMW M8,Solid Black,Oil,Automatic,131288.2,2023-12-20,2024-01-07,Maryland,291.2,6,155.8,465
Bentley Continental GT,Ultra Red,Diesel,Automatic,257033.85,2023-11-26,2024-02-19,Nevada,280.2,6,169.9,647
Mercedes-AMG GT,Pearl White,Oil,Automatic,137934.79,2024-04-02,2024-05-11,Italy,284.4,6,167.5,520
Rolls-Royce Ghost,Solid Black,Oil,Automatic,357349.61,2024-09-03,2024-11-20,German,334.8,6,157.2,449
BMW M8,Red Multi-Coat,Diesel,Automatic,132654.21,2025-03-15,2025-05-03,France,334.7,6,150.3,486
Bugatti Chiron,Ultra Red,Diesel,Automatic,3188717.21,2024-01-30,2024-02-23,Japan,378.6,6,159.7,435
Aston Martin DBS,Deep Blue Metallic,Oil,Automatic,373574.44,2025-05-02,2025-06-20,German,310.5,6,143.3,642
Bugatti Chiron,Ultra Red,Oil,Automatic,2984760.15,2023-10-07,2023-12-15,Maryland,413.6,6,149.6,463
Bentley Continental GT,Midnight Silver Metallic,Diesel,Automatic,237492.27,2024-02-10,2024-04-28,South Korea,333.6,6,153.7,609
Maserati MC20,Solid Black,Oil,Automatic,260625.38,2024-01-19,2024-03-29,Japan,332.6,6,160.5,447
Nissan GT-R,Pearl White,Oil,Automatic,143463.51,2024-05-06,2024-07-26,Connecticut,286.5,6,143.3,525
Koenigsegg Jesko,Midnight Silver Metallic,Diesel,Automatic,3005274.83,2024-02-26,2024-05-23,New Jersey,357.8,6,151.0,564
BMW M8,Stealth Grey,Oil,Automatic,141283.48,2024-04-21,2024-06-27,German,316.3,6,150.9,487
Porsche Cayman GT4,Red Multi-Coat,Oil,Automatic,107757.09,2025-02-21,2025-05-10,China,278.0,6,157.3,647
Nissan GT-R,Pearl White,Oil,Automatic,126790.69,2024-01-20,2024-04-04,Japan,292.8,6,158.6,508
Nissan GT-R,Pearl White,Oil,Automatic,138369.41,2025-05-13,2025-07-18,Nevada,291.0,6,147.7,637
Maserati Ghibli,Deep Blue Metallic,Oil,Automatic,77667.71,2023-08-01,2023-10-15,Connecticut,268.9,6,158.5,526
Lexus LC 500,Deep Blue Metallic,Oil,Automatic,98752.29,2024-12-04,2025-03-02,New York,272.3,6,161.2,622
Lamborghini Huracán,Pearl White,Diesel,Automatic,249679.6,2023-06-16,2023-07-22,France,298.8,6,154.6,643
McLaren 720S,Solid Black,Oil,Automatic,300310.49,2025-01-03,2025-02-26,Washington,324.1,6,162.3,533
BMW M5 CS,Ultra Red,Diesel,Automatic,140411.56,2024-08-16,2024-08-30,Japan,296.1,6,161.0,473
Rolls-Royce Ghost,Ultra Red,Diesel,Automatic,443855.43,2024-08-06,2024-10-24,Maryland,324.3,6,154.8,493
Porsche 911,Midnight Silver Metallic,Diesel,Automatic,202749.05,2024-11-17,2025-01-20,Washington,299.1,6,163.4,569
Bugatti Chiron,Midnight Silver Metallic,Diesel,Automatic,3385339.18,2023-10-27,2023-12-08,Japan,366.2,6,158.8,642
Mercedes-AMG GT,Midnight Silver Metallic,Oil,Automatic,133995.07,2023-07-03,2023-09-27,Virginia,311.7,6,150.0,638
Aston Martin Vantage,Deep Blue Metallic,Oil,Automatic,172137.35,2024-11-13,2025-02-11,Colorado,277.8,6,147.5,547
Lexus LC 500,Deep Blue Metallic,Diesel,Automatic,108334.51,2024-02-10,2024-04-10,Colorado,326.6,6,158.7,611
Ferrari SF90,Midnight Silver Metallic,Oil,Automatic,498787.98,2025-04-10,2025-05-04,Italy,379.5,6,162.3,547
Aston Martin DBS,Midnight Silver Metallic,Diesel,Automatic,330393.17,2024-09-17,2024-11-14,Italy,321.5,6,147.4,544
Ferrari SF90,Red Multi-Coat,Diesel,Automatic,484731.67,2024-03-28,2024-03-29,Massachusetts,364.5,6,142.1,645
Porsche Cayman GT4,Ultra Red,Diesel,Automatic,124296.74,2024-04-07,2024-04-13,Colorado,270.5,6,141.8,607
Ferrari SF90,Midnight Silver Metallic,Diesel,Automatic,466241.8,2025-02-10,2025-02-15,German,349.0,6,147.4,559
Maserati MC20,Ultra Red,Diesel,Automatic,233637.56,2024-05-30,2024-08-03,South Korea,314.1,6,169.5,616
Aston Martin DBS,Deep Blue Metallic,Oil,Automatic,332982.32,2024-08-27,2024-08-28,New Jersey,321.7,6,155.4,470
McLaren 720S,Solid Black,Diesel,Automatic,348997.59,2024-02-25,2024-04-02,Japan,354.9,6,156.3,590
Audi RS7,Solid Black,Diesel,Automatic,125042.7,2024-10-21,2025-01-07,Nevada,272.7,6,168.9,442
Lexus LC 500,Deep Blue Metallic,Diesel,Automatic,114570.4,2025-04-27,2025-07-21,Maryland,271.8,6,162.5,574
Porsche Cayman GT4,Midnight Silver Metallic,Oil,Automatic,123535.46,2024-05-03,2024-07-21,Washington,242.5,6,160.3,615
Maserati MC20,Red Multi-Coat,Oil,Automatic,262440.74,2023-07-14,2023-10-05,New Jersey,341.4,6,145.4,480
Lexus LC 500,Solid Black,Oil,Automatic,106992.7,2024-10-15,2024-11-05,Colorado,294.9,6,162.7,445
Maserati MC20,Pearl White,Diesel,Automatic,272139.24,2025-05-22,2025-08-04,France,323.5,6,149.3,477
Koenigsegg Jesko,Ultra Red,Diesel,Automatic,3343684.99,2024-03-19,2024-04-27,Nevada,391.5,6,158.6,553
Bugatti Chiron,Pearl White,Oil,Automatic,2526522.82,2024-03-27,2024-05-30,New Jersey,394.2,6,166.2,495
Maserati MC20,Pearl White,Diesel,Automatic,247924.1,2024-10-19,2024-12-07,China,369.7,6,155.4,643
Porsche Cayman GT4,Solid Black,Oil,Automatic,118986.56,2023-12-10,2024-01-25,Washington,253.2,6,148.2,611
BMW M8,Red Multi-Coat,Oil,Automatic,149672.84,2025-04-29,2025-05-24,New York,334.2,6,169.4,506
BMW M5 CS,Red Multi-Coat,Diesel,Automatic,164622.16,2024-09-13,2024-11-14,Virginia,304.7,6,153.7,643
Aston Martin DBS,Solid Black,Diesel,Automatic,332210.3,2025-01-04,2025-03-28,France,335.3,6,142.0,481
Lexus LC 500,Deep Blue Metallic,Oil,Automatic,113850.12,2025-02-15,2025-05-09,Washington,307.6,6,157.3,467
Audi RS7,Solid Black,Oil,Automatic,135607.32,2023-07-02,2023-07-11,Virginia,303.7,6,140.2,542
Bentley Continental GT,Red Multi-Coat,Oil,Automatic,229132.26,2023-12-14,2024-01-21,Virginia,295.8,6,146.3,647
Lotus Emira,Stealth Grey,Oil,Automatic,92354.28,2024-10-13,2024-12-04,New Jersey,228.7,6,159.9,439
Mercedes-AMG GT,Red Multi-Coat,Oil,Automatic,134228.72,2023-07-22,2023-10-17,China,305.0,6,156.7,596
Porsche Cayman GT4,Midnight Silver Metallic,Diesel,Automatic,120527.78,2024-11-26,2025-01-26,Japan,247.4,6,165.4,463
Audi RS e-tron GT,Pearl White,Oil,Automatic,152840.99,2024-10-22,2024-11-08,New Jersey,388.5,6,153.6,639
Maserati Ghibli,Red Multi-Coat,Diesel,Automatic,87825.35,2024-12-27,2025-03-07,Washington,288.7,6,167.2,551
Audi RS e-tron GT,Deep Blue Metallic,Oil,Automatic,154691.48,2023-05-24,2023-07-11,Italy,393.2,6,158.1,637
Alpine A110,Solid Black,Diesel,Automatic,72609.04,2024-06-17,2024-07-05,China,192.2,6,140.7,642
Audi RS e-tron GT,Solid Black,Oil,Automatic,158328.39,2024-10-09,2024-11-24,German,376.0,6,151.3,460
